uid	gender	age	city	state	country	ethnicity
4149308855696923796	x	x	x	Lesser Poland Voivodeship	Poland	x
-6883528428632957456	female	37.0	x	x	x	black
4756326747970055695	male	49.0	x	x	x	white
1483962902744798158	male	x	x	x	x	x
-8305065055084640059	female	26.0	Warsaw	Masovian Voivodeship	Poland	white
-1891029395597084473	male	33.0	Bialystok	Podlaskie Voivodeship	Poland	white
-853612404174922601	female	23.0	x	x	x	white
6803181416508891510	male	60.0	x	x	x	white
-7469292299329137016	x	x	x	x	x	x
8044369887692815341	male	x	x	x	x	x
1315761666455837539	x	x	x	x	x	x
-6704503607008694065	female	28.0	x	x	x	white
-4732951116251844417	male	23.0	x	x	x	white
-8765070445082578191	x	x	x	x	x	x
336902411255056325	female	24.0	x	x	x	white
-3874276722474973536	male	44.0	x	x	x	white
1505946470259063075	male	x	x	x	Poland	x
-4110695234504564150	female	21.0	x	x	x	latino
1428770462116595305	male	47.0	Warsaw	Masovian Voivodeship	Poland	white
-3537198772591728549	female	50.0	x	x	Poland	asian
-4118945121790326422	male	43.0	East	 England	United Kingdom	white
8673854640612010977	male	25.0	Los Angeles	California	United States	white
5648039441748314291	male	48.0	x	x	x	white
-8305873702053448852	male	x	Szczecin	 Poland	Poland	x
-3316923879652209163	female	26.0	x	Lesser Poland Voivodeship	Poland	white
-4221041599351081384	male	45.0	x	x	x	white
4170745961069029242	female	56.0	x	Pomeranian Voivodeship	Poland	white
-1644718280004576366	male	48.0	Zawiercie	Silesian Voivodeship	Poland	white
-4126339953321787365	male	18.0	Dubai	Dubai	United Arab Emirates	white
894388992461093279	male	26.0	x	x	x	white
-7063099778832579465	female	26.0	Gdynia	Pomeranian Voivodeship	Poland	white
3747479750667344269	x	x	Siemianowice Slaskie	Silesian Voivodeship	Poland	x
9081570490972106398	male	35.0	Warsaw	Masovian Voivodeship	Poland	white
-1996514558814925088	male	64.0	Lasa Shi	Xizang Zizhiqu	China	white
-2123370307432637893	male	x	x	x	x	x
2422903228089106393	female	30.0	x	x	x	white
-541628080173269699	female	x	x	x	x	x
-3094620775224874462	male	29.0	Kluczbork	opolskie	Poland	white
1559168184444500307	male	25.0	Warsaw	Masovian Voivodeship	Poland	white
-7398931755197662908	male	x	Siedlce	Masovian Voivodeship	Poland	x
4868179584948569658	male	39.0	Johor Bahru	Johor	Malaysia	white
-1229723834904582674	male	52.0	Hell	Michigan	United States	white
-4624793360174034860	male	51.0	x	x	x	white
-5142040391346260765	male	65.0	x	x	Poland	white
-3908851186725492140	male	68.0	x	x	x	white
1257610480176416344	male	57.0	Frankfurt	Hesse	Germany	white
4788509088180397538	x	x	x	x	x	x
6423482386208307486	x	x	Warsaw	Masovian Voivodeship	Poland	x
6929950200791593625	male	52.0	x	x	Poland	white
2865674598176086181	male	43.0	Poznań	Greater Poland Voivodeship	Poland	white
-391041913216280688	female	x	x	x	x	x
-8395929306709532965	male	37.0	x	x	x	white
4882305195922461803	female	31.0	x	x	Poland	latino
-5266749165867658265	x	x	x	x	x	x
-9030772349343299300	x	x	Lublin	Lublin Voivodeship	Poland	x
2465148877738142218	male	24.0	x	x	x	asian
8518726502301296522	x	x	x	x	x	x
-2315250408927730346	male	47.0	x	x	x	white
-8975500923800940700	male	x	Warsaw	Masovian Voivodeship	Poland	x
4017399415915278841	male	x	x	x	x	x
870407952793811047	male	x	Bielsko-Biala	Silesian Voivodeship	Poland	x
942458165151313617	male	65.0	Gdańsk	Pomeranian Voivodeship	Poland	white
-2825621726089908560	female	33.0	x	x	x	white
-5917754118899005090	male	56.0	Kraków	Lesser Poland Voivodeship	Poland	white
5790897572322047595	male	43.0	x	x	Poland	white
-6847454285909304227	male	55.0	Aarhus	x	Denmark	white
2257563849274980904	male	27.0	x	x	x	white
7650652792507462851	female	x	x	x	Poland	x
-4003887981469776919	x	x	x	x	Poland	x
5581158999977112784	male	39.0	Warsaw	 Poland	Poland	white
3762649170308714205	female	24.0	x	West Pomeranian Voivodeship	Poland	white
5167080152315137512	male	38.0	x	x	x	white
7668240787642502726	x	x	x	Greater Poland Voivodeship	Poland	x
7060080951166582957	female	x	x	x	x	x
-8951850227344404314	female	25.0	x	x	x	white
1329697890336666612	male	39.0	Warsaw	 Poland	Poland	white
6916583237591369272	female	67.0	x	x	Poland	white
7992006528058113834	male	x	x	x	x	x
4328212567189839866	female	19.0	x	x	x	white
6811289681056125402	male	x	x	x	x	x
8405700536374414913	male	34.0	x	x	x	white
-1059818598919578999	male	41.0	x	x	x	white
-7753293242577984341	female	x	Warsaw	Masovian Voivodeship	Poland	x
-6613994501204338325	female	x	x	x	x	x
-4444898081741398278	male	32.0	x	x	United Kingdom	white
5293714330343645339	female	25.0	x	x	x	asian
